"date","material_no","ch3_ship_to_code","volume_units","actual_sales_value"
"2022-01-19","70158202","5471700","8544","167120.64"
"2022-01-26","70158202","5471700","1056","20655.36"
"2022-01-30","70158202","5471700","6336","123932.16"
"2022-02-27","70158202","5471700","1056","20655.36"
"2022-03-14","70158202","5471700","1056","31563.84"
"2022-03-17","70158202","5471700","1056","31563.84"
"2022-03-25","70158202","5471700","1056","31563.84"
"2022-03-31","70158202","5471700","1056","31563.84"
"2022-04-04","70158202","5471700","528","15781.92"
"2022-04-07","70158202","5471700","528","15781.92"
"2022-04-11","70158202","5471700","1056","31563.84"
"2022-04-14","70158202","5471700","528","15781.92"
"2022-04-18","70158202","5471700","528","15781.92"
"2022-04-21","70158202","5471700","1056","37245.12"
"2022-04-28","70158202","5471700","1056","19731.36"
"2022-05-02","70158202","5471700","528","11837.76"
"2022-05-09","70158202","5471700","1584","55867.68"
"2022-05-12","70158202","5471700","528","18622.56"
"2022-05-15","70158202","5471700","1056","37245.12"
"2022-05-19","70158202","5471700","528","18622.56"
"2022-05-22","70158202","5471700","528","18622.56"
"2022-05-29","70158202","5471700","1056","37245.12"
"2022-06-02","70158202","5471700","1056","37245.12"
"2022-06-09","70158202","5471700","528","18622.56"
"2022-06-13","70158202","5471700","1056","30539.52"
"2022-06-17","70158202","5471700","528","15269.76"
"2022-06-20","70158202","5471700","1056","30539.52"
"2022-06-23","70158202","5471700","528","15269.76"
"2022-06-27","70158202","5471700","528","18622.56"
"2022-06-27","70158202","5471700","8064","233210.88"
"2022-07-06","70158202","5471700","1584","55867.68"
"2022-07-13","70158202","5471700","1056","37245.12"
"2022-07-21","70158202","5471700","528","21304.8"
"2022-07-25","70158202","5471700","528","15269.76"
"2022-08-01","70158202","5471700","3696","106888.32"
"2022-08-04","70158202","5471700","528","21304.8"
"2021-01-25","70158202","5471735","10560","192192"
"2021-02-21","70158202","5471735","3168","57657.6"
"2021-03-23","70158202","5471735","8112","146178.24"
"2021-03-29","70158202","5471735","6336","114174.72"
"2021-04-19","70158202","5471735","6336","114174.72"
"2021-04-26","70158202","5471735","3168","57087.36"
"2021-05-24","70158202","5471735","11664","220682.88"
"2021-05-31","70158202","5471735","6336","119877.12"
"2021-06-14","70158202","5471735","3168","59938.56"
"2021-06-21","70158202","5471735","3168","59938.56"
"2021-06-28","70158202","5471735","3168","59938.56"
"2021-07-26","70158202","5471735","528","9324.48"
"2021-08-09","70158202","5471735","6336","111893.76"
"2021-08-23","70158202","5471735","3168","55946.88"
"2021-08-30","70158202","5471735","3168","87120"
"2021-09-13","70158202","5471735","3168","87120"
"2021-09-21","70158202","5471735","10368","208189.44"
"2021-09-27","70158202","5471735","6336","127226.88"
"2021-10-11","70158202","5471735","3168","63613.44"
"2021-10-17","70158202","5471735","3168","63613.44"
"2021-11-22","70158202","5471735","14112","291130.56"
"2021-11-29","70158202","5471735","3168","65355.84"
"2021-12-13","70158202","5471735","3168","88862.4"
"2021-12-27","70158202","5471735","3168","65355.84"
"2022-01-24","70158202","5471735","8208","160548.48"
"2022-01-30","70158202","5471735","3168","61966.08"
"2022-02-14","70158202","5471735","3168","61966.08"
"2022-02-22","70158202","5471735","3168","61966.08"
"2022-03-14","70158202","5471735","3168","94691.52"
"2022-03-21","70158202","5471735","3216","72102.72"
"2022-03-28","70158202","5471735","3168","71026.56"
"2022-05-23","70158202","5471735","3168","111735.36"
"2022-06-13","70158202","5471735","3168","111735.36"
"2022-06-27","70158202","5471735","3168","111735.36"
"2022-06-27","70158202","5471735","9024","260974.08"
"2022-08-01","70158202","5471735","2352","68019.84"
"2021-01-19","70158202","5471736","11424","207916.8"
"2021-02-02","70158202","5471736","6336","115315.2"
"2021-02-16","70158202","5471736","6336","115315.2"
"2021-03-22","70158202","5471736","7296","131473.92"
"2021-03-30","70158202","5471736","6336","114174.72"
"2021-04-07","70158202","5471736","3168","57087.36"
"2021-04-20","70158202","5471736","6336","114174.72"
"2021-04-27","70158202","5471736","6336","114174.72"
"2021-05-25","70158202","5471736","8256","156203.52"
"2021-06-01","70158202","5471736","3168","59938.56"
"2021-06-22","70158202","5471736","6336","119877.12"
"2021-06-29","70158202","5471736","3168","59938.56"
"2021-07-20","70158202","5471736","8352","147496.32"
"2021-07-29","70158202","5471736","6336","111893.76"
"2021-08-03","70158202","5471736","6336","111893.76"
"2021-08-17","70158202","5471736","6336","111893.76"
"2021-08-24","70158202","5471736","6336","111893.76"
"2021-09-21","70158202","5471736","7872","158069.76"
"2021-09-27","70158202","5471736","6336","127226.88"
"2021-10-18","70158202","5471736","12672","254453.76"
"2021-11-23","70158202","5471736","3936","81199.68"
"2021-11-30","70158202","5471736","6336","130711.68"
"2021-12-14","70158202","5471736","9504","196067.52"
"2021-12-21","70158202","5471736","3168","65355.84"
"2021-12-28","70158202","5471736","3168","65355.84"
"2022-01-22","70158202","5471736","7536","204753.12"
"2021-01-03","70158202","5516832","3168","76855.68"
"2021-01-21","70158202","5516832","8976","163363.2"
"2021-01-28","70158202","5516832","3168","57657.6"
"2021-01-09","70158202","5516906","3696","67267.2"
"2021-02-10","70158202","5516906","3696","67267.2"
"2021-02-20","70158202","5516906","384","9223.68"
"2021-03-13","70158202","5516906","48","1152.96"
"2021-03-20","70158202","5516906","528","12682.56"
"2021-04-03","70158202","5516906","336","8070.72"
"2021-04-07","70158202","5516906","3696","88777.92"
"2021-04-28","70158202","5516906","3696","66601.92"
"2021-05-19","70158202","5516906","3696","66601.92"
"2021-06-23","70158202","5516906","3696","69928.32"
"2021-07-28","70158202","5516906","3696","69928.32"
"2021-08-21","70158202","5516906","3696","69928.32"
"2021-09-22","70158202","5516906","3696","101640"
"2021-10-23","70158202","5516906","2016","41590.08"
"2021-11-06","70158202","5516906","1584","32677.92"
"2021-11-20","70158202","5516906","1200","24756"
"2021-12-04","70158202","5516906","720","19800"
"2021-12-18","70158202","5516906","1104","30360"
"2021-12-25","70158202","5516906","3696","76248.48"
"2022-02-16","70158202","5516906","3696","110473.44"
"2022-03-30","70158202","5516906","3696","82864.32"
"2022-04-20","70158202","5516906","3696","97796.16"
"2022-04-23","70158202","5516906","3696","82864.32"
"2022-07-02","70158202","5516906","3696","110806.08"
"2022-08-03","70158202","5516906","576","17268.48"
"2022-08-06","70158202","5516906","624","18707.52"
"2022-08-10","70158202","5516906","816","24463.68"
"2021-01-08","70158202","5517876","7392","134534.4"
"2021-01-17","70158202","5517876","3696","67267.2"
"2021-01-18","70158202","5517876","3696","67267.2"
"2021-01-22","70158202","5517876","3696","67267.2"
"2021-01-25","70158202","5517876","3696","67267.2"
"2021-02-01","70158202","5517876","3696","67267.2"
"2021-02-15","70158202","5517876","3696","88777.92"
"2021-03-05","70158202","5517876","3696","88777.92"
"2021-03-19","70158202","5517876","3696","88777.92"
"2021-03-29","70158202","5517876","3696","88777.92"
"2021-04-05","70158202","5517876","3696","88777.92"
"2021-04-16","70158202","5517876","3696","93250.08"
"2021-04-25","70158202","5517876","3696","66601.92"
"2021-05-03","70158202","5517876","3696","66601.92"
"2021-05-09","70158202","5517876","7392","133203.84"
"2021-05-17","70158202","5517876","3696","66601.92"
"2021-05-31","70158202","5517876","3696","66601.92"
"2021-06-03","70158202","5517876","2064","39050.88"
"2021-06-11","70158202","5517876","3696","69928.32"
"2021-06-22","70158202","5517876","3696","93250.08"
"2021-06-27","70158202","5517876","3696","93250.08"
"2021-06-29","70158202","5517876","-3696","-93250.08"
"2021-07-09","70158202","5517876","3696","93250.08"
"2021-07-23","70158202","5517876","3696","69928.32"
"2021-07-31","70158202","5517876","7392","139856.64"
"2021-08-09","70158202","5517876","3696","69928.32"
"2021-08-20","70158202","5517876","3696","69928.32"
"2021-08-29","70158202","5517876","4944","93540.48"
"2021-09-10","70158202","5517876","3696","101640"
"2021-09-20","70158202","5517876","3696","101640"
"2021-10-03","70158202","5517876","3696","101640"
"2021-10-17","70158202","5517876","3696","76248.48"
"2021-10-22","70158202","5517876","3696","76248.48"
"2021-10-24","70158202","5517876","7392","152496.96"
"2021-10-25","70158202","5517876","1392","28716.96"
"2021-11-07","70158202","5517876","3696","76248.48"
"2021-11-15","70158202","5517876","7392","152496.96"
"2021-12-05","70158202","5517876","3696","76248.48"
"2021-12-13","70158202","5517876","3696","101640"
"2022-01-07","70158202","5517876","11088","225973.44"
"2022-01-21","70158202","5517876","3696","110473.44"
"2022-01-24","70158202","5517876","3696","76248.48"
"2022-01-25","70158202","5517876","-48","-990.24"
"2022-02-07","70158202","5517876","3696","76248.48"
"2022-02-11","70158202","5517876","3696","76248.48"
"2022-02-24","70158202","5517876","-3696","-76248.48"
"2022-02-25","70158202","5517876","3696","110473.44"
"2022-03-06","70158202","5517876","3696","110473.44"
"2022-03-18","70158202","5517876","3696","82864.32"
"2022-03-28","70158202","5517876","3696","82864.32"
"2022-03-31","70158202","5517876","1584","47345.76"
"2022-04-03","70158202","5517876","7392","220946.88"
"2022-04-17","70158202","5517876","3696","110473.44"
"2022-04-22","70158202","5517876","3696","82864.32"
"2022-04-25","70158202","5517876","3696","27646.08"
"2022-05-02","70158202","5517876","3696","82864.32"
"2022-05-06","70158202","5517876","3696","82864.32"
"2022-05-29","70158202","5517876","3696","110806.08"
"2022-06-07","70158202","5517876","3696","110806.08"
"2022-06-13","70158202","5517876","3696","110806.08"
"2022-06-19","70158202","5517876","3696","110806.08"
"2022-06-27","70158202","5517876","3696","110806.08"
"2022-07-18","70158202","5517876","3696","110806.08"
"2022-08-01","70158202","5517876","3696","110806.08"
"2022-08-05","70158202","5517876","4464","133830.72"
"2022-08-07","70158202","5517876","4608","138147.84"
"2021-01-05","70158202","5519125","3168","76855.68"
"2021-01-18","70158202","5519125","9552","173846.4"
"2021-02-16","70158202","5519125","3168","57657.6"
"2021-02-23","70158202","5519125","3168","57657.6"
"2021-03-23","70158202","5519125","9168","165207.36"
"2021-03-30","70158202","5519125","3168","57087.36"
"2021-04-13","70158202","5519125","9504","171262.08"
"2021-04-21","70158202","5519125","3168","57087.36"
"2021-04-27","70158202","5519125","6336","114174.72"
"2021-05-25","70158202","5519125","13200","249744"
"2021-06-01","70158202","5519125","3168","59938.56"
"2021-06-15","70158202","5519125","9504","179815.68"
"2021-06-23","70158202","5519125","9504","179815.68"
"2021-07-22","70158202","5519125","6336","111893.76"
"2021-07-23","70158202","5519125","8784","155125.44"
"2021-08-10","70158202","5519125","6336","111893.76"
"2021-08-17","70158202","5519125","9504","167840.64"
"2021-08-26","70158202","5519125","3168","55946.88"
"2021-08-31","70158202","5519125","12672","348480"
"2021-09-23","70158202","5519125","3168","63613.44"
"2021-10-04","70158202","5519125","3168","63613.44"
"2021-10-12","70158202","5519125","6336","127226.88"
"2021-10-26","70158202","5519125","9504","190840.32"
"2020-12-30","70158202","5519207","528","12809.28"
"2021-01-03","70158202","5519207","1056","25618.56"
"2021-01-12","70158202","5519207","1056","25618.56"
"2021-01-21","70158202","5519207","6864","124924.8"
"2021-01-28","70158202","5519207","528","9609.6"
"2021-02-03","70158202","5519207","528","9609.6"
"2021-01-16","70158202","5519394","6096","110947.2"
"2021-01-30","70158202","5519394","3696","67267.2"
"2021-03-20","70158202","5519394","3696","66601.92"
"2021-03-24","70158202","5519394","6240","112444.8"
"2021-04-10","70158202","5519394","3696","66601.92"
"2021-05-05","70158202","5519394","3696","93250.08"
"2021-05-19","70158202","5519394","2592","49040.64"
"2021-05-26","70158202","5519394","3696","69928.32"
"2021-06-05","70158202","5519394","3696","69928.32"
"2021-07-17","70158202","5519394","8928","157668.48"
"2021-08-11","70158202","5519394","3696","65271.36"
"2021-09-15","70158202","5519394","8928","179274.24"
"2021-10-06","70158202","5519394","3696","74215.68"
"2021-10-09","70158202","5519394","3696","74215.68"
"2021-11-24","70158202","5519394","1488","40920"
"2021-11-24","70158202","5519394","3696","76248.48"
"2021-12-18","70158202","5519394","3696","76248.48"
"2022-01-22","70158202","5519394","3696","72293.76"
"2022-01-26","70158202","5519394","1728","33799.68"
"2022-02-02","70158202","5519394","3696","72293.76"
"2022-03-19","70158202","5519394","3696","82864.32"
"2022-03-23","70158202","5519394","2256","50579.52"
"2022-05-11","70158202","5519394","3696","130357.92"
"2022-06-01","70158202","5519394","3696","130357.92"
"2022-06-25","70158202","5519394","3696","130357.92"
"2022-06-29","70158202","5519394","4560","160831.2"
"2022-08-03","70158202","5519394","4752","137427.84"
"2021-01-19","70158202","5519887","4128","75129.6"
"2021-01-27","70158202","5519887","4128","75129.6"
"2021-02-04","70158202","5519887","-4128","-75129.6"
"2021-03-24","70158202","5519887","4032","72656.64"
"2021-03-29","70158202","5519887","-4032","-72656.64"
"2021-05-19","70158202","5519887","1584","29969.28"
"2021-01-21","70158202","5520563","7584","138028.8"
"2021-01-27","70158202","5520563","4224","76876.8"
"2020-12-28","70158202","5520744","1056","25618.56"
"2021-01-14","70158202","5520744","1872","34070.4"
"2021-01-21","70158202","5520744","4992","90854.4"
"2021-01-30","70158202","5520744","3312","60278.4"
"2021-01-04","70158202","5520875","144","3493.44"
"2021-01-07","70158202","5520875","336","6115.2"
"2021-01-14","70158202","5520875","288","5241.6"
"2021-01-21","70158202","5520875","528","9609.6"
"2021-01-28","70158202","5520875","192","3494.4"
"2021-02-04","70158202","5520875","144","2620.8"
"2021-02-11","70158202","5520875","96","1747.2"
"2021-02-18","70158202","5520875","192","3494.4"
"2021-02-25","70158202","5520875","192","4611.84"
"2021-03-04","70158202","5520875","48","1152.96"
"2021-03-11","70158202","5520875","96","2305.92"
"2021-03-18","70158202","5520875","240","5764.8"
"2021-03-25","70158202","5520875","144","3458.88"
"2021-04-01","70158202","5520875","192","4611.84"
"2021-04-08","70158202","5520875","192","4611.84"
"2021-04-15","70158202","5520875","192","4611.84"
"2021-04-22","70158202","5520875","288","7266.24"
"2021-04-29","70158202","5520875","240","4324.8"
"2021-05-06","70158202","5520875","480","8649.6"
"2021-05-13","70158202","5520875","240","4324.8"
"2021-05-20","70158202","5520875","480","8649.6"
"2021-05-27","70158202","5520875","240","4324.8"
"2021-06-04","70158202","5520875","240","4324.8"
"2021-06-10","70158202","5520875","576","10897.92"
"2021-06-17","70158202","5520875","336","6357.12"
"2021-06-25","70158202","5520875","192","3632.64"
"2021-07-01","70158202","5520875","144","3633.12"
"2021-07-11","70158202","5520875","144","3633.12"
"2021-07-15","70158202","5520875","144","3960"
"2021-07-22","70158202","5520875","288","5448.96"
"2021-07-29","70158202","5520875","432","8173.44"
"2021-08-06","70158202","5520875","432","8173.44"
"2021-08-12","70158202","5520875","384","7265.28"
"2021-08-19","70158202","5520875","96","1816.32"
"2021-08-27","70158202","5520875","240","4540.8"
"2021-09-02","70158202","5520875","48","908.16"
"2021-09-09","70158202","5520875","480","13200"
"2021-09-16","70158202","5520875","144","2891.52"
"2021-09-23","70158202","5520875","96","2640"
"2021-09-30","70158202","5520875","432","11880"
"2021-10-15","70158202","5520875","96","1980.48"
"2021-10-21","70158202","5520875","432","8912.16"
"2021-10-28","70158202","5520875","576","11882.88"
"2021-11-04","70158202","5520875","480","9902.4"
"2021-11-11","70158202","5520875","384","7921.92"
"2021-11-25","70158202","5520875","288","5941.44"
"2021-11-26","70158202","5520875","288","5941.44"
"2021-12-09","70158202","5520875","288","5941.44"
"2021-12-23","70158202","5520875","288","7920"
"2021-12-28","70158202","5520875","-288","-5941.44"
"2022-02-03","70158202","5520875","624","12873.12"
"2022-02-10","70158202","5520875","96","1980.48"
"2022-02-17","70158202","5520875","144","2970.72"
"2022-02-25","70158202","5520875","48","1434.72"
"2022-03-03","70158202","5520875","96","2869.44"
"2021-01-19","70158202","5520882","5424","98716.8"
"2020-12-30","70158202","5520883","1056","25618.56"
"2021-01-13","70158202","5520883","528","12809.28"
"2021-01-20","70158202","5520883","4320","78624"
"2021-01-28","70158202","5520883","5280","96096"
"2021-01-05","70158202","5520887","528","12809.28"
"2021-01-07","70158202","5520887","1056","19219.2"
"2021-01-16","70158202","5520887","528","9609.6"
"2021-01-21","70158202","5520887","-528","-12809.28"
"2021-01-23","70158202","5520887","2112","38438.4"
"2021-01-30","70158202","5520887","1056","19219.2"
"2021-02-04","70158202","5520887","-1056","-19219.2"
"2021-02-20","70158202","5520887","528","9609.6"
"2021-02-27","70158202","5520887","528","12682.56"
"2021-03-13","70158202","5520887","528","12682.56"
"2021-03-22","70158202","5520887","528","12682.56"
"2021-03-27","70158202","5520887","528","12682.56"
"2021-04-03","70158202","5520887","1056","25365.12"
"2021-04-10","70158202","5520887","1056","25365.12"
"2021-04-17","70158202","5520887","528","12682.56"
"2021-04-24","70158202","5520887","1056","26642.88"
"2021-05-08","70158202","5520887","1440","25948.8"
"2021-05-29","70158202","5520887","1584","28543.68"
"2021-06-19","70158202","5520887","1056","19979.52"
"2021-06-26","70158202","5520887","528","9989.76"
"2021-07-10","70158202","5520887","1056","26642.88"
"2021-07-17","70158202","5520887","528","14520"
"2021-07-31","70158202","5520887","1056","19979.52"
"2021-08-08","70158202","5520887","1056","19979.52"
"2021-08-14","70158202","5520887","528","9989.76"
"2021-08-18","70158202","5520887","-1056","-19979.52"
"2021-08-21","70158202","5520887","1584","29969.28"
"2021-08-30","70158202","5520887","528","9989.76"
"2021-09-04","70158202","5520887","528","9989.76"
"2021-09-07","70158202","5520887","-528","-9989.76"
"2021-09-11","70158202","5520887","1056","29040"
"2021-09-18","70158202","5520887","528","14520"
"2021-10-02","70158202","5520887","1056","29040"
"2021-10-09","70158202","5520887","528","14520"
"2021-10-16","70158202","5520887","528","10892.64"
"2021-10-23","70158202","5520887","3168","65355.84"
"2021-11-05","70158202","5520887","528","10892.64"
"2021-11-13","70158202","5520887","528","10892.64"
"2021-11-27","70158202","5520887","528","10892.64"
"2021-12-11","70158202","5520887","1056","21785.28"
"2021-12-28","70158202","5520887","528","14520"
"2022-01-04","70158202","5520887","528","10892.64"
"2022-01-10","70158202","5520887","1056","21521.28"
"2022-01-29","70158202","5520887","1056","21785.28"
"2022-02-05","70158202","5520887","528","10892.64"
"2022-02-19","70158202","5520887","528","10892.64"
"2022-02-26","70158202","5520887","528","15781.92"
"2022-03-05","70158202","5520887","1056","31563.84"
"2022-03-19","70158202","5520887","528","15781.92"
"2022-03-26","70158202","5520887","1056","23675.52"
"2022-04-13","70158202","5520887","1056","23675.52"
"2022-04-23","70158202","5520887","1584","35513.28"
"2022-04-30","70158202","5520887","528","11837.76"
"2022-05-07","70158202","5520887","528","11837.76"
"2022-05-14","70158202","5520887","528","11837.76"
"2022-05-21","70158202","5520887","528","18622.56"
"2022-06-04","70158202","5520887","528","15829.44"
"2022-06-11","70158202","5520887","1584","47488.32"
"2022-06-25","70158202","5520887","1584","47488.32"
"2022-07-16","70158202","5520887","528","18622.56"
"2022-07-30","70158202","5520887","432","12951.36"
"2022-08-06","70158202","5520887","1536","46049.28"
"2021-01-26","70158202","5520888","3696","67267.2"
"2021-04-06","70158202","5520888","1056","25365.12"
"2021-04-20","70158202","5520888","528","13321.44"
"2021-04-27","70158202","5520888","528","9514.56"
"2021-05-04","70158202","5520888","1056","19029.12"
"2021-05-11","70158202","5520888","528","9514.56"
"2021-05-18","70158202","5520888","528","9514.56"
"2021-05-25","70158202","5520888","528","9514.56"
"2021-06-01","70158202","5520888","528","9514.56"
"2021-06-08","70158202","5520888","528","9989.76"
"2021-06-15","70158202","5520888","1056","19979.52"
"2021-06-29","70158202","5520888","1056","19979.52"
"2021-07-06","70158202","5520888","528","13321.44"
"2021-07-27","70158202","5520888","1584","29969.28"
"2021-08-03","70158202","5520888","1056","19979.52"
"2021-08-17","70158202","5520888","528","9989.76"
"2021-08-24","70158202","5520888","528","9989.76"
"2021-09-01","70158202","5520888","528","9989.76"
"2021-09-07","70158202","5520888","528","9989.76"
"2021-09-14","70158202","5520888","528","14520"
"2021-09-28","70158202","5520888","528","14520"
"2021-10-06","70158202","5520888","528","14520"
"2021-10-19","70158202","5520888","2112","43570.56"
"2021-11-02","70158202","5520888","1056","21785.28"
"2021-11-09","70158202","5520888","528","6362.4"
"2021-11-30","70158202","5520888","528","10892.64"
"2021-12-14","70158202","5520888","528","14520"
"2021-12-28","70158202","5520888","528","10892.64"
"2022-01-04","70158202","5520888","1056","21785.28"
"2022-01-10","70158202","5520888","528","10760.64"
"2022-01-18","70158202","5520888","528","14345.76"
"2022-01-26","70158202","5520888","528","10892.64"
"2022-02-01","70158202","5520888","528","10892.64"
"2022-02-15","70158202","5520888","528","10892.64"
"2022-02-22","70158202","5520888","528","15781.92"
"2022-05-03","70158202","5520888","1584","35513.28"
"2022-05-10","70158202","5520888","528","11837.76"
"2022-05-24","70158202","5520888","528","13965.6"
"2022-06-07","70158202","5520888","1056","31658.88"
"2022-06-14","70158202","5520888","1056","31658.88"
"2022-07-01","70158202","5520888","1056","31658.88"
"2022-07-25","70158202","5520888","528","15829.44"
"2022-08-02","70158202","5520888","48","1439.04"
"2022-08-09","70158202","5520888","2304","69073.92"
"2021-01-11","70158202","5520897","528","9609.6"
"2021-01-18","70158202","5520897","528","9609.6"
"2021-01-25","70158202","5520897","528","9609.6"
"2021-03-08","70158202","5520897","528","12682.56"
"2021-04-05","70158202","5520897","528","12682.56"
"2021-04-12","70158202","5520897","528","12682.56"
"2021-05-03","70158202","5520897","528","9514.56"
"2021-05-10","70158202","5520897","528","9514.56"
"2021-05-31","70158202","5520897","528","9514.56"
"2021-06-21","70158202","5520897","528","9989.76"
"2021-07-20","70158202","5520897","528","9989.76"
"2021-07-26","70158202","5520897","528","9989.76"
"2021-08-09","70158202","5520897","528","9989.76"
"2021-08-30","70158202","5520897","528","9989.76"
"2021-09-13","70158202","5520897","528","10596.96"
"2021-10-18","70158202","5520897","1056","21785.28"
"2021-11-01","70158202","5520897","528","10892.64"
"2021-12-13","70158202","5520897","528","14520"
"2021-12-30","70158202","5520897","528","10892.64"
"2022-01-24","70158202","5520897","528","10892.64"
"2022-02-21","70158202","5520897","528","15781.92"
"2022-03-28","70158202","5520897","528","11837.76"
"2022-04-18","70158202","5520897","528","11837.76"
"2021-01-09","70158202","5520898","1056","19219.2"
"2021-01-14","70158202","5520898","1056","19219.2"
"2021-01-21","70158202","5520898","1056","19219.2"
"2021-01-28","70158202","5520898","1056","19219.2"
"2021-03-10","70158202","5520898","1056","25365.12"
"2021-03-25","70158202","5520898","528","12682.56"
"2021-04-01","70158202","5520898","528","12682.56"
"2021-04-08","70158202","5520898","528","12682.56"
"2021-04-15","70158202","5520898","528","12682.56"
"2021-04-21","70158202","5520898","528","13321.44"
"2021-04-28","70158202","5520898","1584","28543.68"
"2021-05-06","70158202","5520898","528","9514.56"
"2021-05-13","70158202","5520898","528","9514.56"
"2021-05-20","70158202","5520898","528","9514.56"
"2021-05-27","70158202","5520898","1056","19029.12"
"2021-06-10","70158202","5520898","528","9989.76"
"2021-06-17","70158202","5520898","528","9989.76"
"2021-06-24","70158202","5520898","528","13321.44"
"2021-07-08","70158202","5520898","528","13321.44"
"2021-07-22","70158202","5520898","528","9989.76"
"2021-07-29","70158202","5520898","2640","49948.8"
"2021-08-25","70158202","5520898","528","9989.76"
"2021-09-02","70158202","5520898","528","9989.76"
"2021-09-09","70158202","5520898","528","9989.76"
"2021-09-23","70158202","5520898","528","14520"
"2021-10-01","70158202","5520898","528","14520"
"2021-10-07","70158202","5520898","528","14520"
"2021-10-21","70158202","5520898","1584","32677.92"
"2021-10-29","70158202","5520898","528","10892.64"
"2021-11-04","70158202","5520898","1056","21785.28"
"2021-11-25","70158202","5520898","528","10892.64"
"2021-12-02","70158202","5520898","528","10892.64"
"2021-12-16","70158202","5520898","528","14520"
"2021-12-30","70158202","5520898","528","10892.64"
"2022-01-20","70158202","5520898","2112","57383.04"
"2022-02-09","70158202","5520898","528","10892.64"
"2022-02-17","70158202","5520898","528","10892.64"
"2022-03-02","70158202","5520898","528","15781.92"
"2022-03-09","70158202","5520898","528","15781.92"
"2022-03-25","70158202","5520898","528","11837.76"
"2022-04-02","70158202","5520898","528","11837.76"
"2022-04-09","70158202","5520898","528","11837.76"
"2022-04-15","70158202","5520898","528","11837.76"
"2022-04-23","70158202","5520898","2112","118440.96"
"2022-04-29","70158202","5520898","528","11837.76"
"2022-05-06","70158202","5520898","528","11837.76"
"2022-06-03","70158202","5520898","528","15829.44"
"2022-06-10","70158202","5520898","1056","31658.88"
"2022-06-25","70158202","5520898","1056","31658.88"
"2022-07-16","70158202","5520898","528","18622.56"
"2022-07-30","70158202","5520898","480","14390.4"
"2022-08-07","70158202","5520898","1008","30219.84"
"2021-01-23","70158202","5520904","3456","62899.2"
"2021-02-01","70158202","5520904","528","9609.6"
"2021-02-22","70158202","5520904","528","9609.6"
"2021-03-22","70158202","5520904","3504","63142.08"
"2021-01-18","70158202","5520905","2544","46300.8"
"2021-03-22","70158202","5520905","2448","44112.96"
"2021-05-24","70158202","5520905","2448","46316.16"
"2021-07-19","70158202","5520905","2400","42384"
"2021-09-20","70158202","5520905","2016","40481.28"
"2021-11-22","70158202","5520905","480","13200"
